Utterance,Cluster,lemmatized_queries
θέλω να κάνω αγορά προγράμματος μηνυμάτων,2,θέλω κάνω αγορά πρόγραμμα μήνυμα
επιθυμώ να δω την ανάλυση των κλήσεων,4,επιθυμώ ανάλυση κλήση
πώς εμφανίζω τον αναλυτικό λογαριασμό,6,πώς εμφανίζω αναλυτικός λογαριασμός
θέλω να αγοράσω χρόνο ομιλίας,4,θέλω αγοράζω χρόνος ομιλία
τι κωδικό έχει το tethering,5,τι κωδικός tethering
πόσο είναι η επιδότησή μου,6,πόσο επιδότηση
λογαριασμός της σύνδεσής μου,1,λογαριασμός σύνδεση
από πού μπορώ να ενημερωθώ για τα χρέη μου,6,από πού μπορώ ενημερώνω χρέος
χρόνο για να μιλάω,1,χρόνος μιλάω
πώς μπορώ να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,2,πώς μπορώ ενημερώνω τρόπος που γίνομαι αίτηση
θέλω να ενημερωθώ για αναλυτικό λογαριασμό στο κινητό,2,θέλω ενημερώνω αναλυτικός λογαριασμός κινητό
θέλω να ενημερωθώ για υπηρεσίες,4,θέλω ενημερώνω υπηρεσία
ενδιαφέρομαι να μου απενεργοποιήσετε,4,ενδιαφέρω απενεργοποιώ
αναφορά παραπόνου,6,αναφορά παράπονο
να γίνει απόρρητο το τηλέφωνο,4,γίνομαι απόρρητος τηλέφωνο
να ενημερωθώ για τις βιντεοκλήσεις,4,ενημερώνω βιντέοκληση
ανάλυση εισερχόμενων κλήσεων,4,ανάλυση εισερχόμενος κλήση
πόσο χρωστάω,6,πόσο χρωστώ
θα ήθελα να υποβάλω αίτηση,1,υποβάλλω αίτηση
να εξοφλήσω το σταθερό μου,1,εξοφλώ σταθερός
θα ήθελα να μάθω λεπτομέρειες σχετικά με τον διακανονισμό,2,μαμαίνω λεπτομέρεια σχετικά διακανονισμός
ενδιαφέρομαι να αποκτήσω ένα νέο tablet,3,ενδιαφέρω αποκτώ νέος tablet
τον λογαριασμό της σύνδεσής μου,1,λογαριασμός σύνδεση
επιθυμώ να μιλήσω με τις πωλήσεις,6,επιθυμώ μιλώ πώληση
να ενημερωθώ για την παρούσα κατάσταση του υπολοίπου μου,2,ενημερώνω παρών κατάσταση υπολοίπος
θέλω να κάνω το κινητό μου απόρρητο,2,θέλω κάνω κινητό απόρρητο
επιθυμώ ενημέρωση,4,επιθυμώ ενημέρωση
πώς μπορώ να κάνω διακανονισμό κινητής,6,πώς μπορώ κάνω διακανονισμός κινητής
πώς μπορώ να καταχωρήσω αίτημα,6,πώς μπορώ καταχωρώ αίτημα
θέλω να αναφέρω παράπονο,6,θέλω αναφέρω παράπονο
δε βρίσκω να ανοίξω το hotspot στη συσκευή μου,0,δε βρίζω ανοίγω hotspot συσκευή
πού θα βρω πόσα χρωστάω,6,πού βρέπω χρωστώ
πότε θα γίνει το νέο ραντεβού,4,πότε γίνομαι νέος ραντέβος
από πού αλλάζει ο κωδικός του tethering,5,από πού αλλάζω ο κωδικός tethering
θέλω να με ενημερώσετε για αναλυτικό λογαριασμό στο κινητό,2,θέλω ενημερώνω αναλυτικός λογαριασμός κινητό
θα επιθυμούσα να μάθω πόσες δόσεις απομένουν ακόμη για τον διακανονισμό,2,επιθυμώ μαμαίνω δόση απομένω διακανονισμός
αγορά προγράμματος δεδομένων,6,αγορά πρόγραμμα δεδομένο
πώς κάνω hotspot,0,πώς κάνω hotspot
ενημερώστε με για την ανάλυση των κλήσεων,4,ενημερώνω ανάλυση κλήση
να ανανεώσω θέλω,1,ανανεώνω θέλω
βρήκα αναπάντητη στο σταθερό τηλέφωνο από εσάς,2,βρίσκω αναπάντητος σταθερός τηλέφωνο από
ενεργοποίηση,4,ενεργοποίηση
θέλω πληροφορίες,6,θέλω πληροφορία
πού μπορώ να βρω τα χρέη μου,6,πού μπορώ βρέπω χρέος
θέλω να βρω τον αναλυτικό λογαριασμό του σταθερού,2,θέλω βρέπω αναλυτικός λογαριασμός σταθερός
θέλω να μιλήσω για ένα ραντεβού,4,θέλω μιλώ ραντέβος
να πληροφορηθώ,6,πληροφορώ
λογαριασμός κινητής,1,λογαριασμός κινητής
δωρεάν χρόνος ομιλίας,1,δωρύς χρόνος ομιλία
ενημέρωση για την απόκρυψη κλήσεων,4,ενημέρωση απόκρυψη κλήση
από πού αλλάζει ο κωδικός του hotspot,0,από πού αλλάζω ο κωδικός hotspot
τον λογαριασμό του σταθερού μου,1,λογαριασμός σταθερός
θέλω να ενημερωθώ πότε πρέπει να πληρώνω τις δόσεις του διακανονισμού μου,2,θέλω ενημερώνω πότε πρέπει πληρώνω δόση διακανονισμός
θέλω να ενεργοποιήσω πρόγραμμα ομιλίας,2,θέλω ενεργοποιώ πρόγραμμα ομιλία
είχα μία κλήση στο τηλέφωνό μου από εσάς και σας κάλεσα,4,κλήση τηλέφωνο από κάλω
θέλω να δω αναλυτικά την κίνηση των κλήσεών μου,2,θέλω αναλυτικά κίνηση κλήση
επιθυμώ να προσθέσω χρόνο ομιλίας,2,επιθυμώ προσθέτω χρόνος ομιλία
θέλω να μου βάλετε χρόνο για να μιλάω,4,θέλω βάνω χρόνος μιλάω
υπάρχουν άλλες υπηρεσίες πέρα από αυτές που έχω,6,υπάρχω άλλος υπηρεσία πέρα από που έχω
θέλω να βάλω λεπτά ομιλίας στην κάρτα,4,θέλω βάγω λεπτό ομιλία σε ο κάρτα
να κάνω εξόφληση λογαριασμού,4,κάνω εξόφληση λογαριασμός
θέλω να μάθω πότε πρέπει να πληρώνω τις δόσεις του διακανονισμού μου,2,θέλω μαμαίνω πότε πρέπει πληρώνω δόση διακανονισμός
ενημέρωση για τις υπηρεσίες,4,ενημέρωση υπηρεσία
τι υπόλοιπο έχω,4,τι υπόλοιπος έχω
λειτουργία της βιντεοκλήσης,4,λειτουργία βιντεοκλήση
θέλω να ενεργοποιηθεί,4,θέλω ενεργοποιώ
θέλω να καταχωρήσω αίτηση,4,θέλω καταχωρώ αίτηση
θα ήθελα παρακαλώ να κάνω διακανονισμό του ληξιπρόθεσμου και του τρέχοντος λογαριασμού μου,2,παρακαλώ κάνω διακανονισμός ληξύπροθεσμος τρέχων λογαριασμός
ποιες υπηρεσίες έχω ήδη,1,υπηρεσία έχω ήδη
πώς κάνω tethering τη συσκευή μου,5,πώς κάνω tethering συσκευή
θέλω να ενημερωθώ για τα οφειλόμενά μου,2,θέλω ενημερώνω οφειλόμενά
το τμήμα παραπόνων θέλω,6,τμήμα παράπονο θέλω
σχετικά με λογαριασμό σταθερού,4,σχετικά λογαριασμός σταθερός
θέλω να με ενημερώσετε για αναλυτικό λογαριασμό στο σταθερό,2,θέλω ενημερώνω αναλυτικός λογαριασμός σταθερός
τον λογαριασμό του συμβολαίου μου,1,λογαριασμός συμβόλαιο
πού μπορώ να δω την οφειλή μου,6,πού μπορώ οφειλή
ποιο είναι το τελικό ποσό των χρεών μου,6,τελικός ποσό χρέος
να κάνω αποπληρωμή λογαριασμού,4,κάνω αποπληρωμή λογαριασμός
μπορώ να προχωρήσω σε διακανονισμό του σταθερού μου,2,μπορώ προχωρώ διακανονισμός σταθερός
καινούργια υπηρεσία,1,καινούργιος υπηρεσία
χρήση της υπηρεσίας της βιντεοκλήσης,4,χρήση υπηρεσία βιντεοκλήση
να μάθω το υπόλοιπό μου,4,μαμαίνω υπόλοιπος
για τον λογαριασμό μου,1,λογαριασμός
ζητώ να ενεργοποιήσω,1,ζητώ ενεργοποιώ
επιθυμώ απενεργοποίηση,4,επιθυμώ απενεργοποίηση
να μου δείξετε πού είναι ο αναλυτικός λογαριασμός,4,δείχνω πού ο αναλυτικός λογαριασμός
να εξοφλήσω το τηλέφωνό μου,1,εξοφλώ τήλεφος ό
θέλω να εκφράσω παράπονο,6,θέλω εκφράζω παράπονο
ανάλυση κλήσεων,1,ανάλυση κλήση
πού μπορώ να κάνω αίτηση για φοιτητικό,6,πού μπορώ κάνω αίτηση φοιτητικός
επιθυμώ να γνωρίζω την οφειλή μου,4,επιθυμώ γνωρίζω οφειλή
χρειάζομαι ανάλυση του λογαριασμού μου,4,χρειάζομαι ανάλυση λογαριασμός
από πού κλείνει το tethering,5,από πού κλείνω tethering
θέλω να κάνω αποπληρωμή της οφειλής του κινητού μου,2,θέλω κάνω αποπληρωμή οφειλής κινητός
θα μου δείξετε πώς να κάνω hotspot,0,δείχνω πώς κάνω hotspot
λογαριασμός σύνδεσης,1,λογαριασμός σύνδεση
θέλω να δω την ανάλυση κλήσεων,4,θέλω ανάλυση κλήση
θέλω να αγοράσω χρόνο ομιλίας προς κινητά,2,θέλω αγοράζω χρόνος ομιλία προς κινητός
θέλω να δω μια μερική ανάλυση των κλήσεων μου,4,θέλω μερικός ανάλυση κλήση
τo παραστατικό του καρτοσυμβολαίου μου,6,παράστατικός καρτοσυμβόλαι
θέλω να γίνει εξόφληση λογαριασμού για το σταθερό μου,2,θέλω γίνομαι εξόφληση λογαριασμός σταθερός
θέλω να γίνει εξόφληση παραστατικού του τηλεφώνου μου,2,θέλω γίνομαι εξόφληση παράστατικός τηλέφωνο
θέλω να κάνω πληρωμή της οφειλής του κινητού μου,2,θέλω κάνω πληρωμή οφειλής κινητός
θέλω χρόνο για να τα λέω με τους φίλους μου,4,θέλω χρόνος φίλος
με ποιον τρόπο να καταχωρήσω αίτηση,4,τρόπος καταχωρώ αίτηση
πού μπορώ να δω το χρέος μου,6,πού μπορώ χρέος
θέλω να γίνει αποπληρωμή της οφειλής του τηλεφώνου μου,2,θέλω γίνομαι αποπληρωμή οφειλής τηλέφωνο
θα ήθελα να κάνω μερικές ερωτήσεις σχετικά με τον διακανονισμό,2,κάνω μερικοί ερώτηση σχετικά διακανονισμός
τι παροχές έχει το φοιτητικό,4,τι παροχή φοιτητικός
να πω το παράπονό μου,6,παράπονο
τo παραστατικό του κινητού μου,6,παράστατικός κινητός
καλώ για να τροποποιήσω ένα ραντεβού,4,καλώ τροποποιώ ραντέβος
θέλω να βάλω χρόνο ομιλίας στην κάρτα,4,θέλω βάγω χρόνος ομιλία σε ο κάρτα
διακανονισμός ληξιπρόθεσμου,4,διακανονισμός ληξύπροθεσμος
θα ήθελα να μιλήσω με το τμήμα διακανονισμού λογαριασμών,4,μιλώ τμήμα διακανονισμός λογαριασμός
πώς μπορώ να βλέπω αναλυτικά τις κλήσεις στον λογαριασμό μου,2,πώς μπορώ βλέπω αναλυτικά κλήση σε ο λογαριασμός
επιθυμώ να βάλω λεπτά ομιλίας στην κάρτα,4,επιθυμώ βάγω λεπτό ομιλία σε ο κάρτα
να κάνω δήλωση του σταθερού μου ως απόρρητο,4,κάνω δήλωση σταθερός ως απόρρητο
υπόλοιπο,1,υπόλοιπος
θέλω να γίνει αποπληρωμή της οφειλής του κινητού μου,2,θέλω γίνομαι αποπληρωμή οφειλής κινητός
θα ήθελα να ρωτήσω πώς μπορώ να κάνω το φοιτητικό πακέτο,2,ρωτώ πώς μπορώ κάνω φοιτητικός πακέτο
λεπτά για ομιλία,1,λεπτό ομιλία
τον λογαριασμό του κινητού μου,1,λογαριασμός κινητός
πώς θα κάνω διακανονισμό οφειλής,6,πώς κάνω διακανονισμός οφειλής
πού είναι το υπόλοιπο,6,πού υπόλοιπος
χρειάζομαι βοήθεια σε ένα θέμα,1,χρειάζομαι βοήθεια θέμα
έχετε κάπου οδηγίες για tethering,5,κάπου οδηγία tethering
ενημερώστε με για τον αναλυτικό λογαριασμό,4,ενημερώνω αναλυτικός λογαριασμός
πόσα χρήματα χρωστάω,1,χρήμα χρωστώ
ενημέρωση για τον αναλυτικό λογαριασμό,4,ενημέρωση αναλυτικός λογαριασμός
επιθυμώ να κάνω αίτηση,4,επιθυμώ κάνω αίτηση
θέλω να μάθω πόσα χρωστάω,4,θέλω μαμαίνω χρωστώ
είχα μιλήσει να πάρω ένα καινούργιο φοιτητικό πακέτο,2,μιλώ πάρω καινούργιος φοιτητικός πακέτο
νέα υπηρεσία,1,νέος υπηρεσία
ενεργοποίηση προγράμματος με mb,6,ενεργοποίηση πρόγραμμα mb
να πληροφορηθώ για το υπόλοιπό μου,6,πληροφορώ υπόλοιπος
αγορά προγράμματος με δεδομένα,6,αγορά πρόγραμμα δεδομένο
θέλω να βλέπω αναλυτικό λογαριασμό,2,θέλω βλέπω αναλυτικός λογαριασμός
βοηθήστε με,1,βοηθώ
δεν έχει ενημερωθεί το υπόλοιπο μου,4,δεν ενημερώνω υπόλοιπος
θέλω να γίνει εξόφληση λογαριασμού για το τηλέφωνο μου,2,θέλω γίνομαι εξόφληση λογαριασμός τηλέφωνο
να επιλέξω μία υπηρεσία,4,επιλέξω υπηρεσία
είχα μία κλήση στο σταθερό τηλέφωνό μου από εσάς,4,κλήση σταθερός τηλέφωνο από
πληροφορίες για την απόκρυψη κλήσεων,2,πληροφορία απόκρυψη κλήση
θέλω να γίνει εξόφληση της οφειλής του κινητού μου,2,θέλω γίνομαι εξόφληση οφειλής κινητός
επιθυμώ λεπτά ομιλίας για το καρτοκινητό μου,4,επιθυμώ λεπτό ομιλία καρτοκινητό
θέλω να ενεργοποιήσω,4,θέλω ενεργοποιώ
να κάνω εξόφληση της οφειλής του κινητού μου,4,κάνω εξόφληση οφειλής κινητός
θέλω να εξοφλήσω το κινητό μου,4,θέλω εξοφλώ κινητό
θέλω νέο διακανονισμό για το κινητό,4,θέλω νέος διακανονισμός κινητό
θέλω να ενημερωθώ για το χρέος μου,4,θέλω ενημερώνω χρέος
με ποιον τρόπο μπορώ να υποβάλω αίτηση,4,τρόπος μπορώ υποβάλλω αίτηση
ολοκλήρωση της ανανέωσης,4,ολοκλήρωση ανανέωση
να αποπληρώσω το κινητό μου,4,αποπληρώνω κινητό
θέλω να μάθω για την εξόφληση λογαριασμού,2,θέλω μαμαίνω εξόφληση λογαριασμός
θέλω μία βοήθεια,1,θέλω βοήθεια
ζητώ να μου απενεργοποιήσετε,1,ζητώ απενεργοποιώ
επιθυμώ να υποβάλω αίτηση,4,επιθυμώ υποβάλλω αίτηση
τι κωδικό έχει το hotspot,0,τι κωδικός hotspot
ενδιαφέρομαι για ανανέωση,4,ενδιαφέρω ανανέωση
πώς να κάνω το κινητό μου tethering,5,πώς κάνω κινητό tethering
ποιο είναι το σύνολο των χρεών μου,1,σύνολο χρέος
θέλω να γίνει εξόφληση παραστατικού του tv μου,2,θέλω γίνομαι εξόφληση παράστατικός tv
θα ήθελα να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,2,ενημερώνω τρόπος που γίνομαι αίτηση
θέλω να κάνω το σταθερό μου απόρρητο,2,θέλω κάνω σταθερός απόρρητο
υπηρεσία,1,υπηρεσία
θα ήθελα να κάνω διακανονισμό σε όλο αυτό που χρωστάω,6,κάνω διακανονισμός που χρωστώ
ανάλυση εισερχομένων,4,ανάλυση εισερχομένος
θέλω ενημέρωση,4,θέλω ενημέρωση
θέλω να κάνω διακανονισμό στην τηλεόραση γιατί αδυνατώ να πληρώσω τον λογαριασμό,2,θέλω κάνω διακανονισμός σε ο τηλεόραση γιατί αδυνατώ πληρώνω λογαριασμός
ενεργοποίηση hotspot,0,ενεργοποίηση hotspot
επιθυμώ να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,2,επιθυμώ ενημερώνω τρόπος που γίνομαι αίτηση
θέλω να αποκτήσω επιπλέον λεπτά ομιλίας για να μιλάω με φίλους,2,θέλω αποκτώ επιπλέον λεπτό ομιλία μιλάω φίλος
οδηγίες για hotspot παρακαλώ,0,οδηγία hotspot παρακαλώ
να μάθω πληροφορίες,6,μαμαίνω πληροφορία
αγορά προγράμματος μηνυμάτων,6,αγορά πρόγραμμα μήνυμα
θέλω να συνδεθώ με το τμήμα πωλήσεων,2,θέλω συνδένω τμήμα πώληση
πώς να ενεργοποιήσω το tethering μέσω του κινητού μου,5,πώς ενεργοποιώ tethering μέσω κινητός
να γίνει ενεργοποίηση,4,γίνομαι ενεργοποίηση
θα ήθελα να διακανονίσω το ποσό που σας χρωστάω,6,διακανονίζω ποσό που χρωστώ
επιθυμώ να απενεργοποιήσω,4,επιθυμώ απενεργοποιώ
πώς μπορώ να δω μια ανάλυση όλων των κλήσεων και μηνυμάτων,6,πώς μπορώ ανάλυση κλήση μήνυμα
να δηλώσω το σταθερό μου ως απόρρητο,4,δηλώνω σταθερός ως απόρρητο
θέλω βοήθεια,1,θέλω βοήθεια
θα ήθελα να μιλήσω με το τμήμα που κάνει διακανονισμούς,4,μιλώ τμήμα που διακανονισμός
θα μπορούσα να έχω πρόσβαση στην ανάλυση λογαριασμού σταθερού,2,έχω πρόσβαση σε ο ανάλυση λογαριασμός σταθερός
πώς ανοίγει το hotspot,0,πώς ανοίγω hotspot
θέλω υπηρεσίες,1,θέλω υπηρεσία
ενημερώστε με για την ανάλυση κλήσεων,4,ενημερώνω ανάλυση κλήση
είχαμε μιλήσει για ένα ραντεβού,1,μιλώ ραντέβος
θα ήθελα να καταχωρήσω αίτηση,1,καταχωρώ αίτηση
θέλω να προσθέσω λεπτά ομιλίας,2,θέλω προσθέτω λεπτό ομιλία
κάτι δεν πάει καλά με το hotspot,0,κάτι δεν πηγαίνω καλά hotspot
θέλω να αποπληρώσω το σταθερό μου,2,θέλω αποπληρώνω σταθερός
πώς μπορώ να καταχωρήσω αίτηση,6,πώς μπορώ καταχωρώ αίτηση
θέλω να κάνω εξόφληση λογαριασμού,2,θέλω κάνω εξόφληση λογαριασμός
θα ήθελα να καταχωρήσω αίτημα,1,καταχωρώ αίτημα
θέλω να ενημερωθώ για διακανονισμό,2,θέλω ενημερώνω διακανονισμός
χρόνο για να τα λέω,1,χρόνος
ανάλυση εισερχόμενων μηνυμάτων,4,ανάλυση εισερχόμενος μήνυμα
βγήκε επιδότηση για το τηλέφωνό μου,4,βγίσκω επιδότηση τήλεφος ό
να κάνω εξόφληση λογαριασμού για το τηλέφωνό μου,4,κάνω εξόφληση λογαριασμός τήλεφος ό
πώς μπορώ να κάνω διακανονισμό σταθερής τηλεφωνίας,2,πώς μπορώ κάνω διακανονισμός σταθερής τηλεφωνία
πόσα χρήματα χρωστάω τελικά,4,χρήμα χρωστώ τελικά
αγορά προγράμματος με χρόνο ομιλίας,4,αγορά πρόγραμμα χρόνος ομιλία
έχω επιδότηση,1,έχω επιδότηση
άμεση πραγματοποίηση ανανέωσης,2,άμεσος πραγματοποίηση ανανέωση
επιθυμώ να βάλω χρόνο ομιλίας,4,επιθυμώ βάγω χρόνος ομιλία
να μπορώ να κάνω βιντεοκλήση,4,μπορώ κάνω βιντεοκλήση
πληροφορίες για ένα ραντεβού,6,πληροφορία ραντέβος
θέλω να μάθω πόσα χρήματα οφείλω,2,θέλω μαμαίνω χρήμα οφείλω
θέλω ενεργοποίηση,4,θέλω ενεργοποίηση
απόκρυψη,1,απόκρυψη
θέλω να κάνω εξόφληση παραστατικού του σταθερού μου,2,θέλω κάνω εξόφληση παράστατικός σταθερός
θα ήθελα ένα νέο tablet,3,νέος tablet
επιθυμώ να κάνω αίτημα,4,επιθυμώ κάνω αίτημα
θέλω να κάνω ενεργοποίηση προγράμματος ομιλίας,2,θέλω κάνω ενεργοποίηση πρόγραμμα ομιλία
θέλω να μου βάλετε λεπτά ομιλίας στο καρτοκινητό μου,2,θέλω βάνω λεπτό ομιλία καρτοκινητό
θέλω να γίνει αποπληρωμή λογαριασμού του κινητού μου,2,θέλω γίνομαι αποπληρωμή λογαριασμός κινητός
θέλω να απενεργοποιήσω,4,θέλω απενεργοποιώ
από πού βλέπω τα υπόλοιπα,6,από πού βλέπω υπόλοιπος
να μου κάνετε ενεργοποίηση,4,ενεργοποίηση
επιθυμώ να βάλω λεπτά ομιλίας,4,επιθυμώ βάγω λεπτό ομιλία
περιμένω τον συνάδελφό σας να έρθει για το ραντεβού που έχουμε,6,περιμένω συνάδελφος έρχομαι ραντέβος που
θέλω να ενημερωθώ για τον τρόπο που μπορεί να γίνει αίτηση,2,θέλω ενημερώνω τρόπος που γίνομαι αίτηση
πότε έχει προγραμματιστεί το νέο ραντεβού,6,πότε προγραμματίζω νέος ραντέβος
να κάνω εξόφληση λογαριασμού για το σταθερό μου,4,κάνω εξόφληση λογαριασμός σταθερός
